review_scores_rating,accommodates,guests_included,availability_365,number_of_reviews_ltm,minimum_nights_avg_ntm,maximum_nights_avg_ntm,bathrooms,bedrooms,beds,host_listings_count,price,extra_people,security_deposit,cleaning_fee,host_response_rate,maximum_nights,minimum_nights,city,host_response_time,property_type,room_type,bed_type,cancellation_policy,is_location_exact,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,neighbourhood_cleansed,first_review,last_review,host_since
95.0,4,1,130,1,80,365,1.0,2.0,2.0,3.0,163,0,200.0,0.0,100,365,80,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.78775,-122.41633999999999,Downtown/Civic Center,3282.0,183.0,3295.0
90.0,2,1,269,2,30,365,1.5,1.0,1.0,1.0,185,10,500.0,120.0,100,365,30,San Francisco,within an hour,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,True,37.7933,-122.40078999999999,Financial District,3019.0,56.0,3291.0
94.0,2,2,255,4,30,730,1.0,1.0,1.0,9.0,115,20,500.0,160.0,100,730,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,False,37.79166,-122.4265,Pacific Heights,3289.0,87.0,3330.0
94.0,4,1,226,0,30,365,1.0,1.0,2.0,4.0,112,0,1000.0,200.0,100,365,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.77959,-122.48619,Outer Richmond,3190.0,875.0,3283.0
95.0,4,1,255,1,30,365,1.0,1.0,2.0,4.0,116,0,3000.0,200.0,100,365,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.74889,-122.44479,Twin Peaks,3258.0,175.0,3283.0
93.0,1,1,297,3,30,365,0.0,1.0,1.0,9.0,55,0,0.0,70.0,100,365,30,San Francisco,within a few hours,Apartment,Private room,Real Bed,moderate,True,True,False,False,False,True,True,False,37.792159999999996,-122.42458,Pacific Heights,3265.0,50.0,3330.0
96.0,4,1,5,8,3,365,1.0,2.0,2.0,3.0,187,0,0.0,0.0,100,365,3,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,True,37.78816,-122.41722,Downtown/Civic Center,3240.0,42.0,3295.0
99.0,5,4,362,0,90,360,2.0,2.0,2.0,0.0,200,35,1000.0,100.0,,360,90,San Francisco,,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,False,True,True,37.77459,-122.43923000000001,Haight Ashbury,3258.0,595.0,3336.0
92.0,2,2,343,3,30,90,1.0,1.0,1.0,1.0,175,10,,,100,90,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.7472,-122.41443000000001,Bernal Heights,3258.0,43.0,3271.0
94.0,1,1,78,19,30,360,1.0,1.0,1.0,4.0,99,25,300.0,100.0,90,360,30,San Francisco,within an hour,Apartment,Private room,Real Bed,strict_14_with_grace_period,True,True,True,True,False,False,True,True,37.75762,-122.41933,Mission,3090.0,22.0,3408.0
98.0,2,2,121,56,2,15,1.0,1.0,1.0,1.0,135,0,100.0,75.0,100,15,2,San Francisco,within an hour,Guest suite,Entire home/apt,Real Bed,moderate,True,True,False,False,False,True,True,True,37.74565,-122.42863999999999,Noe Valley,3232.0,5.0,3255.0
96.0,4,1,47,33,2,30,2.0,1.0,1.0,4.0,109,50,0.0,40.0,100,30,2,San Francisco,within an hour,Condominium,Private room,Real Bed,moderate,True,True,True,False,False,False,True,False,37.8031,-122.41596000000001,Russian Hill,3074.0,2.0,3255.0
98.0,2,2,363,11,30,120,1.0,1.0,1.0,1.0,150,30,0.0,120.0,100,120,30,San Francisco,within an hour,Cottage,Private room,Futon,flexible,True,True,True,False,False,True,True,True,37.742090000000005,-122.41408999999999,Bernal Heights,3037.0,85.0,3253.0
20.0,2,2,365,0,60,60,1.0,1.0,1.0,1.0,100,0,,200.0,,60,60,San Francisco,,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.75674,-122.49178,Outer Sunset,3065.0,3065.0,3252.0
97.0,6,5,163,1,4,180,2.0,3.0,4.0,5.0,475,30,800.0,185.0,100,180,4,San Francisco,within an hour,House,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,False,True,True,37.769659999999995,-122.43496,Western Addition,3215.0,16.0,3261.0
97.0,2,1,0,1,2,28,1.0,1.0,1.0,2.0,85,45,,45.0,100,28,2,San Francisco,within an hour,Apartment,Private room,Real Bed,moderate,True,True,False,False,False,True,True,True,37.74183,-122.42993,Glen Park,1705.0,219.0,3238.0
96.0,6,1,357,3,3,1125,2.5,3.0,4.0,1.0,950,0,2000.0,150.0,80,1125,3,San Francisco,within a day,House,Entire home/apt,Real Bed,flexible,True,True,False,False,False,False,True,False,37.76245,-122.42432,Mission,3009.0,15.0,3360.0
94.0,2,1,340,61,2,29,1.0,1.0,1.0,2.0,166,0,145.0,65.0,100,29,2,San Francisco,within an hour,Guest suite,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,True,False,False,True,True,True,37.74926,-122.41398000000001,Mission,3221.0,11.0,3250.0
99.0,2,1,346,3,30,150,2.0,1.0,1.0,2.0,90,40,350.0,75.0,100,150,30,San Francisco,within an hour,Apartment,Private room,Real Bed,flexible,True,True,False,False,False,True,True,True,37.80317,-122.42873999999999,Marina,2996.0,62.0,3311.0
83.0,2,1,0,0,30,360,1.0,0.0,1.0,2.0,95,15,500.0,75.0,,360,30,San Francisco,,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,True,True,False,True,False,37.77798,-122.47811999999999,Inner Richmond,3001.0,378.0,3622.0
96.0,6,4,327,0,30,1125,2.0,3.0,4.0,28.0,216,50,,205.0,100,1125,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.777190000000004,-122.50906,Outer Richmond,3059.0,602.0,3433.0
79.0,3,2,89,0,30,120,1.0,1.0,0.0,1.0,90,10,500.0,140.0,100,120,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.7571,-122.46593999999999,Inner Sunset,3206.0,922.0,3295.0
99.0,2,2,329,1,30,1125,1.0,1.0,1.0,8.0,326,50,350.0,180.0,100,1125,30,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,True,True,True,True,False,37.754259999999995,-122.42387,Mission,3095.0,44.0,3200.0
98.0,2,1,316,2,30,365,1.0,2.0,2.0,1.0,80,20,,100.0,,365,30,San Francisco,,House,Entire home/apt,Real Bed,moderate,True,True,False,False,True,False,True,True,37.77442,-122.46319,Inner Richmond,3073.0,184.0,3192.0
91.0,2,1,326,0,30,1125,1.0,1.0,1.0,42.0,46,15,150.0,50.0,81,1125,30,San Francisco,within a day,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,False,True,True,37.730270000000004,-122.42643999999999,Excelsior,3146.0,499.0,3237.0
82.0,2,1,344,1,30,1125,1.0,1.0,1.0,42.0,37,25,150.0,35.0,81,1125,30,San Francisco,within a day,House,Private room,Real Bed,strict_14_with_grace_period,True,True,False,True,True,False,True,True,37.73128,-122.42478,Excelsior,3077.0,62.0,3237.0
93.0,4,4,365,0,30,365,2.0,3.0,3.0,28.0,185,50,0.0,255.0,100,365,30,San Francisco,within a few hours,Apartment,Entire home/apt,Real Bed,super_strict_30,True,True,False,False,False,True,True,True,37.77707,-122.50923,Seacliff,2924.0,637.0,3433.0
98.0,3,2,165,0,30,180,1.0,1.0,1.0,4.0,108,0,500.0,,100,180,30,San Francisco,within an hour,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,True,True,True,37.74527,-122.42424,Bernal Heights,2758.0,1149.0,3186.0
93.0,1,1,255,3,30,365,2.5,1.0,2.0,20.0,30,0,300.0,,91,365,30,San Francisco,within an hour,House,Shared room,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,False,37.79364,-122.40635,Chinatown,3059.0,26.0,3209.0
92.0,1,1,63,59,1,14,3.0,1.0,0.0,20.0,45,45,0.0,0.0,91,14,1,San Francisco,within an hour,Hostel,Shared room,Real Bed,flexible,True,True,True,False,False,False,True,False,37.794470000000004,-122.4045,Financial District,3178.0,5.0,3209.0
98.0,2,1,309,44,3,26,1.0,1.0,1.0,1.0,109,0,,60.0,100,26,3,San Francisco,within a few hours,Guest suite,Private room,Real Bed,flexible,True,True,False,False,False,True,True,True,37.745779999999996,-122.40841,Bernal Heights,1319.0,7.0,3177.0
60.0,2,1,365,0,30,365,1.0,1.0,2.0,1.0,80,20,,100.0,,365,30,San Francisco,,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,False,False,False,True,True,37.77625,-122.46466000000001,Inner Richmond,2994.0,2935.0,3176.0
91.0,8,4,257,4,30,365,1.0,0.0,3.0,12.0,90,7,500.0,100.0,68,365,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.77518,-122.43333999999999,Western Addition,3131.0,36.0,3173.0
94.0,2,1,43,64,1,14,1.0,1.0,8.0,20.0,45,45,0.0,0.0,91,14,1,San Francisco,within an hour,Hostel,Shared room,Real Bed,flexible,True,True,True,False,False,False,True,False,37.79309,-122.40443,Financial District,3121.0,23.0,3209.0
89.0,6,2,286,3,30,365,1.0,1.0,3.0,12.0,105,6,400.0,0.0,68,365,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,True,True,False,False,False,False,True,True,37.77588,-122.43143,Western Addition,3159.0,166.0,3173.0
99.0,2,1,348,0,30,40,1.0,1.0,1.0,1.0,270,0,500.0,120.0,100,40,30,San Francisco,within a day,Apartment,Entire home/apt,Real Bed,moderate,True,True,False,True,True,False,True,True,37.77026,-122.41855,South of Market,2675.0,413.0,3169.0
